ID	ouverture	angle	angle	ouverture
219	65.6	39.12404511	21.8	52.4064448
220	65.7	39.23556344	21.9	52.46427708
221	65.8	39.34720122	22	52.52239643
222	65.9	39.4465349	22.1	52.58666043
223	66	39.55839769	22.2	52.64538573
224	66.1	39.65793102	22.3	52.70440106
225	66.2	39.77001803	22.4	52.76370736
226	66.3	39.88222341	22.5	52.82330559
227	66.4	39.98206072	22.6	52.88319671
228	66.5	40.08199122	22.7	52.94941635
229	66.6	40.19452425	22.8	53.00992563
230	66.7	40.29465228	22.9	53.07073076
231	66.8	40.40740711	23	53.1318327
232	66.9	40.50773195	23.1	53.19323242
233	67	40.60814915	23.2	53.25493087
234	67.1	40.72122871	23.3	53.31692903
235	67.2	40.82184167	23.4	53.37922785
236	67.3	40.9225465	23.5	53.44182831
237	67.4	41.02334304	23.6	53.50473137
238	67.5	41.13684857	23.7	53.567938
239	67.6	41.23783947	23.8	53.62508433
240	67.7	41.33892158	23.9	53.68887043
241	67.8	41.44009475	24	53.75296292
242	67.9	41.54135882	24.1	53.81736279
243	68	41.64271361	24.2	53.882071
244	68.1	41.74415899	24.3	53.94708854
245	68.2	41.84569478	24.4	54.01241638
246	68.3	41.94732082	24.5	54.07147756
247	68.4	42.04903696	24.6	54.13739768
248	68.5	42.15084303	24.7	54.20363096
249	68.6	42.25273887	24.8	54.27017837
250	68.7	42.35472432	24.9	54.33034044
251	68.8	42.45679923	25	54.39748743
252	68.9	42.55896342	25.1	54.46495142
253	69	42.66121674	25.2	54.52594086
254	69.1	42.76355903	25.3	54.59400988
255	69.2	42.85318139	25.4	54.66239878
256	69.3	42.95569005	25.5	54.7242231
257	69.4	43.05828722	25.6	54.79322249
258	69.5	43.16097273	25.7	54.85559788
259	69.6	43.25089489	25.8	54.92521137
260	69.7	43.35374559	25.9	54.99514952
261	69.8	43.45668417	26	55.05837226
262	69.9	43.54682738	26.1	55.12893002
263	70	43.64993029	26.2	55.19271203
264	70.1	43.74021703	26.3	55.26389301
265	70.2	43.84348369	26.4	55.32823756
266	70.3	43.94683744	26.5	55.39284972
267	70.4	44.0373433	26.6	55.46495575
268	70.5	44.14085992	26.7	55.53013526
269	70.6	44.23150804	26.8	55.60287351
270	70.7	44.33518696	26.9	55.66862365
271	70.8	44.42597684	27	55.74199777
272	70.9	44.5168327	27.1	55.80832184
273	71	44.62074861	27.2	55.87491892
274	71.1	44.71174549	27.3	55.94923678
275	71.2	44.81582228	27.4	56.01641265
276	71.3	44.90695967	27.5	56.08386384
277	71.4	44.99816246	27.6	56.15913341
278	71.5	45.10247416	27.7	56.22716827
279	71.6	45.19381672	27.8	56.29548076
280	71.7	45.28522434	27.9	56.36407163
281	71.8	45.37669689	28	56.4406111
282	71.9	45.48131634	28.1	56.50979211
283	72	45.57292768	28.2	56.57925383
284	72.1	45.66460362	28.3	56.64899699
285	72.2	45.75634405	28.4	56.71902237
286	72.3	45.84814885	28.5	56.79716023
287	72.4	45.94001791	28.6	56.86778383
288	72.5	46.04508966	28.7	56.93869197
289	72.6	46.13709605	28.8	57.00988541
290	72.7	46.22916636	28.9	57.0813649
291	72.8	46.32130046	29	57.1531312
292	72.9	46.41349825	29.1	57.22518506
293	73	46.50575963	29.2	57.29752723
294	73.1	46.59808447	29.3	57.37824649
295	73.2	46.69047266	29.4	57.45119983
296	73.3	46.7829241	29.5	57.52444384
297	73.4	46.87543867	29.6	57.59797928
298	73.5	46.96801626	29.7	57.67180692
299	73.6	47.06065676	29.8	57.74592752
300	73.7	47.15336005	29.9	57.82034184
301	73.8	47.23286991	30	57.89505064
302	73.9	47.32568953	30.1	57.97005469
303	74	47.41857163	30.2	58.04535475
304	74.1	47.51151608	30.3	58.12095159
305	74.2	47.60452279	30.4	58.18839855
306	74.3	47.69759164	30.5	58.26455805
307	74.4	47.77741431	30.6	58.34101655
308	74.5	47.87059825	30.7	58.4177748
309	74.6	47.96384402	30.8	58.49483358
310	74.7	48.05715149	30.9	58.57219366
311	74.8	48.13717834	31	58.64985581
312	74.9	48.23060011	31.1	58.7278208
313	75	48.32408325	31.2	58.79737787
314	75.1	48.41762766	31.3	58.87591699
315	75.2	48.49785727	31.4	58.95476118
316	75.3	48.59151516	31.5	59.03391122
317	75.4	48.67184187	31.6	59.11336787
318	75.5	48.76561286	31.7	59.18425404
319	75.6	48.85944459	31.8	59.26429198
320	75.7	48.93992004	31.9	59.34463877
321	75.8	49.03386425	32	59.4252952
322	75.9	49.11443595	32.1	59.49725038
323	76	49.20849227	32.2	59.57849381
324	76.1	49.28915989	32.3	59.66004912
325	76.2	49.38332792	32.4	59.74191709
326	76.3	49.46409112	32.5	59.81495174
327	76.4	49.55837046	32.6	59.89741244
328	76.5	49.6392289	32.7	59.98018805
329	76.6	49.73361917	32.8	60.05403139
330	76.7	49.81457252	32.9	60.137404
331	76.8	49.90907331	33	60.22109378
332	76.9	49.99012123	33.1	60.29575162
333	77	50.08473216	33.2	60.38004267
334	77.1	50.16587431	33.3	60.45523621
335	77.2	50.24705985	33.4	60.54013132
